movie_id,title,release_year,vote_count,vote_average,popularity,genres,rec_features,similarity_score
24428,The Avengers,2012.0,12000.0,7.4,89.887648,"['Science Fiction', 'Action', 'Adventure']","{'+aftercreditsstinger+': 1, '+agency+': 1, '+brink+': 1, '+dare+': 1, '+director+': 1, '+disaster+': 1, '+duringcreditsstinger+': 1, '+effort+': 1, '+enemy+': 1, '+find+': 1, '+fury+': 1, '+globe+': 1, '+intern+': 1, '+nick+': 1, '+pull+': 1, '+recruit+': 1, '+safety+': 1, '+secure+': 1, '+shield+': 1, '+span+': 1, '+superhero+': 1, '+team+': 1, '+threaten+': 1, '+unexpected+': 1, '2010_till_now': 1, 'actorchrisevans': 1, 'actormarkruffalo': 1, 'actorrobertdowneyjr': 1, 'alien+invasion': 1, 'based+on+comic': 1, 'composeralansilvestri': 1, 'directorjosswhedon': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'new+york': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1, 'screenplayjosswhedon': 1, 'superhero+team': 1}",42.0
100402,Captain America: The Winter Soldier,2014.0,5881.0,7.6,18.717704,"['Action', 'Adventure', 'Science Fiction']","{'+aftercreditsstinger+': 1, '+duringcreditsstinger+': 1, '+enemy+': 1, '+find+': 1, '+shield+': 1, '+superhero+': 1, '+threaten+': 1, '+unexpected+': 1, '2010_till_now': 1, 'actorchrisevans': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",18.0
99861,Avengers: Age of Ultron,2015.0,6908.0,7.3,37.37942,"['Action', 'Adventure', 'Science Fiction']","{'+duringcreditsstinger+': 1, '+superhero+': 1, '+unexpected+': 1, '2010_till_now': 1, 'actormarkruffalo': 1, 'actorrobertdowneyjr': 1, 'based+on+comic': 1, 'directorjosswhedon': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1, 'superhero+team': 1}",16.0
1771,Captain America: The First Avenger,2011.0,7174.0,6.6,19.323582,"['Action', 'Adventure', 'Science Fiction']","{'+aftercreditsstinger+': 1, '+superhero+': 1, '2010_till_now': 1, 'actorchrisevans': 1, 'based+on+comic': 1, 'composeralansilvestri': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'new+york': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",14.0
271110,Captain America: Civil War,2016.0,7462.0,7.1,145.882135,"['Adventure', 'Action', 'Science Fiction']","{'+aftercreditsstinger+': 1, '+duringcreditsstinger+': 1, '+superhero+': 1, '2010_till_now': 1, 'actorchrisevans': 1, 'actorrobertdowneyjr': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",14.0
102899,Ant-Man,2015.0,6029.0,7.0,26.882388,"['Science Fiction', 'Action', 'Adventure']","{'+aftercreditsstinger+': 1, '+duringcreditsstinger+': 1, '+pull+': 1, '+superhero+': 1, '2010_till_now': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",13.0
10138,Iron Man 2,2010.0,6969.0,6.6,19.083344,"['Adventure', 'Action', 'Science Fiction']","{'+aftercreditsstinger+': 1, '+superhero+': 1, '2010_till_now': 1, 'actorrobertdowneyjr': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",12.0
68721,Iron Man 3,2013.0,8951.0,6.8,23.721243,"['Action', 'Adventure', 'Science Fiction']","{'+aftercreditsstinger+': 1, '+superhero+': 1, '2010_till_now': 1, 'actorrobertdowneyjr': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",12.0
76338,Thor: The Dark World,2013.0,4873.0,6.8,34.905446999999995,"['Action', 'Adventure', 'Fantasy']","{'+aftercreditsstinger+': 1, '+duringcreditsstinger+': 1, '+enemy+': 1, '+superhero+': 1, '2010_till_now': 1, 'based+on+comic': 1, 'genreaction': 1, 'genreadventure': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",12.0
118340,Guardians of the Galaxy,2014.0,10014.0,7.9,53.291601,"['Action', 'Science Fiction', 'Adventure']","{'+aftercreditsstinger+': 1, '+duringcreditsstinger+': 1, '+find+': 1, '+globe+': 1, '2010_till_now': 1, 'genreaction': 1, 'genreadventure': 1, 'genresciencefiction': 1, 'marvel+cinematic+universe': 1, 'marvel+comic': 1, 'producerkevinfeige': 1, 'runtime_above_110': 1}",12.0
